start_time,end_time,text
1048.96,1052.96," Au femme qui lisons ça et qui se sentent attaquer, attaquer, prouve le point."
1052.96,1054.96," Si ça t'appliquait pas, tu serais pas fâché."
1054.96,1057.8, Le fait que t'es énervé veut dire que tu te reconnais dans ces mots.
1057.8,1060.28," Au lieu de t'énerver contre les mecs pour la voir remarquer,"
1060.28,1062.28, peut-être gère ta dette émotionnelle.
1062.28,1066.16," Peut-être assume, peut-être devient quelqu'un qui vaut la peine de s'engager."
1066.16,1067.2, Le jeu a changé.
1067.2,1068.68, La symétrie d'infos est partie.
1068.68,1070.16, Les femmes ont révélé leur main
1070.16,1073.12, et elle est pleine de dette émotionnelle et d'exigence.
1073.12,1075.84, Les mecs peuvent maintenant prendre des décisions informées
1075.84,1077.88, basées sur le comportement révélé
1077.92,1079.56, plutôt que sur de jolies mensonges.
1079.56,1080.88, Le marché sexuel se corrige
1080.88,1084.4, et celle avec le plus de dette émotionnelle seront laissés avec le sac.
1084.4,1086.6, C'est ce que les femmes voulaient jamais que tu saches.
1086.6,1088.28," Leur vrai nature est trans-accionnel,"
1088.28,1090.32, leur dette émotionnelle est énorme
1090.32,1092.24, et leur assumation est inexistente.
1092.24,1094.24, Mais elles se sont dénoncées elles-mêmes.
1094.24,1097.44, Elles ont tout révélé pour de la validation sur les réseaux sociaux
1097.44,1099.88, et maintenant que les mecs peuvent le voir clairement
1099.88,1101.8, tout le marché des rencontres changent.
1101.8,1103.28, L'équipe de nettoyage est fermée.
1103.28,1104.6, Le centre de réab est fermé.
1104.6,1107.48, Gère ta propre dette émotionnelle ou gère d'être seul.
1107.48,1110.24," Le choix est à toi, mais les conséquences sont les leurs."
1110.24,1112.68, Les femmes peuvent plus cacher leur vrai nature
1112.68,1115.44, et les mecs peuvent plus ignorer ce qui a été révélé.
1115.44,1116.48, La vérité est sortie.
1116.48,1120.04, Le jeu est exposé et le futur appartient à ceux qui refusent de payer
1120.04,1121.68, pour des dégâts qu'ils n'ont pas causés.
1121.68,1124.72, Laisse un commentaire sur ton expérience avec la dette émotionnelle.
1124.72,1127.52, T'as sorti avec des femmes qui attendaient que tu répares leurs tromins.
1127.52,1130.32, T'a été l'équipe de nettoyage pour les erreurs de quelqu'un d'autre.
1130.32,1132.48," Quelle drape au rouge les femmes ton révélé,"
1132.48,1134.28, sans le vouloir via les réseaux sociaux.
1134.28,1135.36, Partage des histoires
1135.36,1137.52, parce que les mecs ont besoin de savoir qu'ils sont pas seuls
1137.52,1138.52, à gérer cette folie.
1138.52,1139.12, À la prochaine !
